Date : 2023-05-11 20:12:29
Directory : y:\Studyplace_Web_Development\Gateway_System
Total : 138 files,  1094354 codes, 41925 comments, 241753 blanks, all 1378032 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\fsharp                                                                  |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\go                                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\handlebars                                                              |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\html                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ini                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\java                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\javascript                                                              |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\less                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\lua                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\markdown                                                                |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\msdax                                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\objective-c                                                             |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\php                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\postiats                                                                |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\powershell                                                              |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\pug                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\python                                                                  |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\r                                                                       |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\razor                                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redis                                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redshift                                                                |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ruby                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\rust                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sb                                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scheme                                                                  |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scss                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\shell                                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\solidity                                                                |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sql                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\st                                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\swift                                                                   |          1 |          1 |          9 |          0 |         10 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\typescript                                                              |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\vb                                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\xml                                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\yaml                                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\editor                                                                                  |          4 |        672 |         75 |         92 |        839 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language                                                                                |          8 |          8 |         62 |          0 |         70 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\css                                                                            |          2 |          2 |         12 |          0 |         14 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\html                                                                           |          2 |          2 |         12 |          0 |         14 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\json                                                                           |          2 |          2 |         12 |          0 |         14 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\typescript                                                                     |          2 |          2 |         26 |          0 |         28 |
| web\app\static\device\amis\thirds\mpegts.js                                                                                                    |          1 |          2 |          7 |          0 |          9 |
| web\app\static\device\css                                                                                                                      |         10 |     22,691 |        334 |      2,755 |     25,780 |
| web\app\static\device\css (Files)                                                                                                              |          1 |     19,982 |        334 |      2,749 |     23,065 |
| web\app\static\device\css\fonts                                                                                                                |          1 |      2,671 |          0 |          1 |      2,672 |
| web\app\static\device\css\icons                                                                                                                |          8 |         38 |          0 |          5 |         43 |
| web\app\static\device\js                                                                                                                       |          2 |     62,677 |      2,669 |      3,346 |     68,692 |
| web\app\static\device\scripts                                                                                                                  |          2 |     61,879 |      2,669 |      3,345 |     67,893 |
| web\app\static\login                                                                                                                           |          2 |        290 |         16 |          2 |        308 |
| web\app\static\login\css                                                                                                                       |          1 |        287 |         15 |          1 |        303 |
| web\app\static\login\js                                                                                                                        |          1 |          3 |          1 |          1 |          5 |
| web\app\templates                                                                                                                              |          4 |      1,173 |         30 |         40 |      1,243 |
| web\app\templates\device                                                                                                                       |          3 |      1,100 |         10 |         30 |      1,140 |
| web\app\templates\login                                                                                                                        |          1 |         73 |         20 |         10 |        103 |
| web\app\utils                                                                                                                                  |          2 |         49 |         22 |         12 |         83 |
| web\app\views                                                                                                                                  |          6 |        495 |         87 |         82 |        664 |
| web\app\views\device                                                                                                                           |          2 |        409 |         72 |         67 |        548 |
| web\app\views\index                                                                                                                            |          2 |         37 |          7 |          8 |         52 |
| web\app\views\login                                                                                                                            |          2 |         49 |          8 |          7 |         64 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| y:\Studyplace_Web_Development\Gateway_System\README.md                                                                                         | Markdown         |         12 |          0 |          7 |         19 |
| y:\Studyplace_Web_Development\Gateway_System\control\config\device.conf                                                                        | Properties       |          1 |          2 |          1 |          4 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\__init__.py                                                                           | Python           |         13 |          2 |          7 |         22 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\config.py                                                                             | Python           |         23 |          3 |          4 |         30 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\core_scheduling.py                                                                    | Python           |        189 |         51 |         39 |        279 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\device_manager.py                                                                     | Python           |        118 |         31 |         24 |        173 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\driver\bsp_satellite_comm.py                                                          | Python           |         92 |         18 |         16 |        126 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\driver\bsp_underwater_acoustic_comm.py                                                | Python           |        159 |         33 |         30 |        222 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\driver\mserial.py                                                                     | Python           |         77 |         20 |         12 |        109 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\models\model.py                                                                       | Python           |         47 |          8 |          7 |         62 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\task_queue.py                                                                         | Python           |         57 |         26 |         14 |         97 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\tool\mformatconv.py                                                                   | Python           |          6 |          1 |          3 |         10 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\tool\mlocaltime.py                                                                    | Python           |          9 |          4 |          8 |         21 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\utils\get_time.py                                                                     | Python           |         24 |          4 |         11 |         39 |
| y:\Studyplace_Web_Development\Gateway_System\control\src\utils\mlogging.py                                                                     | Python           |         24 |          5 |          6 |         35 |
| y:\Studyplace_Web_Development\Gateway_System\db\gateway.db                                                                                     | Database         |        110 |          0 |          0 |        110 |
| y:\Studyplace_Web_Development\Gateway_System\main.py                                                                                           | Python           |         29 |          6 |          8 |         43 |
| y:\Studyplace_Web_Development\Gateway_System\requirements.txt                                                                                  | pip requirements |          8 |          0 |          1 |          9 |
| y:\Studyplace_Web_Development\Gateway_System\test.py                                                                                           | Python           |          1 |          0 |          1 |          2 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\__init__.py                                                                               | Python           |         46 |         10 |         13 |         69 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\config.py                                                                                 | Python           |         52 |         11 |         10 |         73 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\models\models.py                                                                          | Python           |        115 |         14 |         25 |        154 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\public.py                                                                                 | Python           |         30 |          3 |          6 |         39 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\ang-ie11.css                                                           | CSS              |     87,921 |      3,173 |     22,989 |    114,083 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\ang.css                                                                | CSS              |     90,214 |      3,173 |     22,995 |    116,382 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\antd-ie11.css                                                          | CSS              |     87,920 |      3,173 |     22,989 |    114,082 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\antd.css                                                               | CSS              |     90,193 |      3,173 |     22,994 |    116,360 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\barcode.js                                                             | JavaScript       |        100 |          0 |          0 |        100 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\charts.js                                                              | JavaScript       |         32 |         45 |          0 |         77 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\codemirror.js                                                          | JavaScript       |         14 |          0 |          0 |         14 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\color-picker.js                                                        | JavaScript       |        130 |          0 |          0 |        130 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\cropperjs.js                                                           | JavaScript       |          5 |          9 |          0 |         14 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\cxd-ie11.css                                                           | CSS              |     87,920 |      3,173 |     22,989 |    114,082 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\cxd.css                                                                | CSS              |     90,189 |      3,173 |     22,994 |    116,356 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\dark-ie11.css                                                          | CSS              |     87,920 |      3,173 |     22,989 |    114,082 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\dark.css                                                               | CSS              |     90,195 |      3,173 |     22,994 |    116,362 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\exceljs.js                                                             | JavaScript       |         10 |         30 |          4 |         44 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\helper.css                                                             | CSS              |     44,655 |      2,930 |          0 |     47,585 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\iconfont.css                                                           | CSS              |      2,404 |          0 |          1 |      2,405 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\iconfont.svg                                                           | XML              |        848 |          3 |      1,663 |      2,514 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\ie11-patch.css                                                         | CSS              |          1 |          0 |          1 |          2 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\locale\de-DE.js                                                        | JavaScript       |        405 |          0 |          3 |        408 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\markdown.js                                                            | JavaScript       |        136 |          0 |          0 |        136 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\papaparse.js                                                           | JavaScript       |          4 |          6 |          3 |         13 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\rest.js                                                                | JavaScript       |         32 |          0 |          0 |         32 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\rich-text.js                                                           | JavaScript       |        123 |        158 |        118 |        399 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\sdk-ie11.css                                                           | CSS              |     87,920 |      3,173 |     22,989 |    114,082 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\sdk.css                                                                | CSS              |     90,189 |      3,173 |     22,994 |    116,356 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\sdk.js                                                                 | JavaScript       |      3,439 |        236 |        114 |      3,789 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\hls.js\hls.js                                                   | JavaScript       |         92 |        273 |          0 |        365 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\base\worker\workerMain.js                  | JavaScript       |          8 |          8 |          2 |         18 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\apex\apex.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\azcli\azcli.js             | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\bat\bat.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\clojure\clojure.js         | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\coffee\coffee.js           | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\cpp\cpp.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\csharp\csharp.js           | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\css\css.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\dockerfile\dockerfile.js   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\fsharp\fsharp.js           | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\go\go.js                   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\handlebars\handlebars.js   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\html\html.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ini\ini.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\java\java.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\javascript\javascript.js   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\less\less.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\lua\lua.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\markdown\markdown.js       | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\msdax\msdax.js             | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\objective-c\objective-c.js | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\php\php.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\postiats\postiats.js       | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\powershell\powershell.js   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\pug\pug.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\python\python.js           | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\r\r.js                     | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\razor\razor.js             | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redis\redis.js             | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redshift\redshift.js       | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ruby\ruby.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\rust\rust.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sb\sb.js                   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scheme\scheme.js           | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scss\scss.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\shell\shell.js             | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\solidity\solidity.js       | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sql\sql.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\st\st.js                   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\swift\swift.js             | JavaScript       |          1 |          9 |          0 |         10 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\typescript\typescript.js   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\vb\vb.js                   | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\xml\xml.js                 | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\yaml\yaml.js               | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.css                     | CSS              |          1 |          5 |          0 |          6 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.js                      | JavaScript       |        661 |         58 |         90 |        809 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.nls.js                  | JavaScript       |          4 |          6 |          1 |         11 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.nls.zh-cn.js            | JavaScript       |          6 |          6 |          1 |         13 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\css\cssMode.js                    | JavaScript       |          1 |          6 |          0 |          7 |
| y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\css\cssWorker.js                  | JavaScript       |          1 |          6 |          0 |          7 |
