Date : 2023-04-30 17:42:14
Directory : y:\研究生\跨越网关\代码\Gateway_System
Total : 320 files,  1097159 codes, 42011 comments, 242019 blanks, all 1381189 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\css                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\dockerfile                                               |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\fsharp                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\go                                                       |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\handlebars                                               |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\html                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ini                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\java                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\javascript                                               |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\less                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\lua                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\markdown                                                 |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\msdax                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\objective-c                                              |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\php                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\postiats                                                 |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\powershell                                               |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\pug                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\python                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\r                                                        |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\razor                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redis                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redshift                                                 |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ruby                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\rust                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sb                                                       |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scheme                                                   |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scss                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\shell                                                    |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\solidity                                                 |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sql                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\st                                                       |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\swift                                                    |          1 |          1 |          9 |          0 |         10 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\typescript                                               |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\vb                                                       |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\xml                                                      |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\yaml                                                     |          1 |          1 |          6 |          0 |          7 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\editor                                                                   |          4 |        672 |         75 |         92 |        839 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language                                                                 |          8 |          8 |         62 |          0 |         70 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\css                                                             |          2 |          2 |         12 |          0 |         14 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\html                                                            |          2 |          2 |         12 |          0 |         14 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\json                                                            |          2 |          2 |         12 |          0 |         14 |
| web\app\static\device\amis\thirds\monaco-editor\min\vs\language\typescript                                                      |          2 |          2 |         26 |          0 |         28 |
| web\app\static\device\amis\thirds\mpegts.js                                                                                     |          1 |          2 |          7 |          0 |          9 |
| web\app\static\device\css                                                                                                       |         10 |     22,691 |        334 |      2,755 |     25,780 |
| web\app\static\device\css (Files)                                                                                               |          1 |     19,982 |        334 |      2,749 |     23,065 |
| web\app\static\device\css\fonts                                                                                                 |          1 |      2,671 |          0 |          1 |      2,672 |
| web\app\static\device\css\icons                                                                                                 |          8 |         38 |          0 |          5 |         43 |
| web\app\static\device\js                                                                                                        |          2 |     62,677 |      2,669 |      3,346 |     68,692 |
| web\app\static\device\scripts                                                                                                   |          2 |     61,879 |      2,669 |      3,345 |     67,893 |
| web\app\static\login                                                                                                            |          2 |        290 |         16 |          2 |        308 |
| web\app\static\login\css                                                                                                        |          1 |        287 |         15 |          1 |        303 |
| web\app\static\login\js                                                                                                         |          1 |          3 |          1 |          1 |          5 |
| web\app\templates                                                                                                               |          4 |      1,173 |         30 |         40 |      1,243 |
| web\app\templates\device                                                                                                        |          3 |      1,100 |         10 |         30 |      1,140 |
| web\app\templates\login                                                                                                         |          1 |         73 |         20 |         10 |        103 |
| web\app\utils                                                                                                                   |          1 |         23 |         16 |          5 |         44 |
| web\app\views                                                                                                                   |          6 |        484 |         87 |         79 |        650 |
| web\app\views\device                                                                                                            |          2 |        400 |         72 |         63 |        535 |
| web\app\views\index                                                                                                             |          2 |         37 |          7 |          8 |         52 |
| web\app\views\login                                                                                                             |          2 |         47 |          8 |          8 |         63 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                        | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| y:\研究生\跨越网关\代码\Gateway_System\README.md                                                                                         | Markdown         |          9 |          0 |          4 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\control\config\device.conf                                                                        | Properties       |          1 |          2 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\__init__.py                                                                           | Python           |         13 |          2 |          7 |         22 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\backup\core_scheduling backup.py                                                      | Python           |        102 |         50 |         33 |        185 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\backup\forwarding_rule.conf                                                           | Properties       |          3 |          0 |          0 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\backup\forwarding_rule.py                                                             | Python           |         53 |         21 |         18 |         92 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\config.py                                                                             | Python           |         21 |          2 |          4 |         27 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\core_scheduling.py                                                                    | Python           |         96 |         60 |         39 |        195 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\device_manager.py                                                                     | Python           |        135 |         31 |         33 |        199 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\driver\bsp_underwater_acoustic_comm.py                                                | Python           |        163 |         38 |         32 |        233 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\driver\msatellite.py                                                                  | Python           |         85 |         18 |         15 |        118 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\driver\mserial.py                                                                     | Python           |         77 |         20 |         12 |        109 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\task_queue.py                                                                         | Python           |         47 |         25 |         14 |         86 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\test_for_pika.py                                                                      | Python           |         20 |         11 |          8 |         39 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\tool\mformatconv.py                                                                   | Python           |          6 |          1 |          3 |         10 |
| y:\研究生\跨越网关\代码\Gateway_System\control\src\tool\mlocaltime.py                                                                    | Python           |          9 |          4 |          8 |         21 |
| y:\研究生\跨越网关\代码\Gateway_System\db\gateway.db                                                                                     | Database         |         99 |          0 |          2 |        101 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_22_36.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_23_21.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_23_23.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_24_21.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 13_27_59.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_04_18.log                                                               | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_05_18.log                                                               | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_05_49.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_07_02.log                                                               | Log              |          6 |          0 |          1 |          7 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_07_24.log                                                               | Log              |          6 |          0 |          1 |          7 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_15_19.log                                                               | Log              |          6 |          0 |          1 |          7 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_15_35.log                                                               | Log              |          6 |          0 |          1 |          7 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_16_32.log                                                               | Log              |          6 |          0 |          1 |          7 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_18_33.log                                                               | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_21_10.log                                                               | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_26_35.log                                                               | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_29_47.log                                                               | Log              |          4 |          0 |          1 |          5 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_29_59.log                                                               | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_32_59.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_33_49.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_34_01.log                                                               | Log              |          2 |          0 |          1 |          3 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_34_43.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_35_24.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_37_06.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_38_46.log                                                               | Log              |         40 |          0 |          1 |         41 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_40_38.log                                                               | Log              |         40 |          0 |          1 |         41 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_47_32.log                                                               | Log              |         41 |          0 |          1 |         42 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_48_22.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_50_52.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_56_52.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_59_12.log                                                               | Log              |         15 |          0 |          1 |         16 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_59_32.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_02_47.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_03_09.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_03_43.log                                                               | Log              |          4 |          0 |          1 |          5 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_04_30.log                                                               | Log              |          4 |          0 |          1 |          5 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_21_41.log                                                               | Log              |         19 |          0 |          1 |         20 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_31_59.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_35_51.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_41_20.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_47_05.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_55_27.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_03_33.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_03_51.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_05_49.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_06_44.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_07_18.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_08_22.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_10_08.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_10_27.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_11_25.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_11_50.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_12_00.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_14_26.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_16_51.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_18_37.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_20_10.log                                                               | Log              |         14 |          0 |          1 |         15 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_21_13.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_21_31.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_27_54.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_29_43.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_32_43.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_32_54.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_34_30.log                                                               | Log              |         10 |          0 |          1 |         11 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_35_33.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_37_03.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_39_21.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_41_22.log                                                               | Log              |         40 |          0 |          1 |         41 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_50_43.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_59_14.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_01_11.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_01_37.log                                                               | Log              |         38 |          0 |          5 |         43 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_05_17.log                                                               | Log              |         65 |          0 |          9 |         74 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_06_44.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_07_20.log                                                               | Log              |         11 |          0 |          1 |         12 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_09_13.log                                                               | Log              |          3 |          0 |          1 |          4 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_09_41.log                                                               | Log              |         38 |          0 |          5 |         43 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_10_14.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_11_13.log                                                               | Log              |         38 |          0 |          5 |         43 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_13_28.log                                                               | Log              |         38 |          0 |          5 |         43 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_14_20.log                                                               | Log              |         38 |          0 |          5 |         43 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_15_34.log                                                               | Log              |         65 |          0 |          9 |         74 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_16_26.log                                                               | Log              |         38 |          0 |          5 |         43 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_18_16.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_19_39.log                                                               | Log              |         37 |          0 |          3 |         40 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_20_26.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_21_31.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_22_40.log                                                               | Log              |         33 |          0 |          3 |         36 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_23_54.log                                                               | Log              |         12 |          0 |          1 |         13 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_25_17.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_26_13.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_26_42.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_27_56.log                                                               | Log              |         13 |          0 |          1 |         14 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_32_30.log                                                               | Log              |         14 |          0 |          1 |         15 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_32_52.log                                                               | Log              |         14 |          0 |          1 |         15 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_22_34.log                                                                  | Log              |          1 |          0 |          1 |          2 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_22_36.log                                                                  | Log              |         21 |          0 |          1 |         22 |
| y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_23_21.log                                                                  | Log              |          1 |          0 |          1 |          2 |
